nombre,Codigo,Zona,Vendedor,telefono,EMail,Direccion
" ELECTRO FERRETERIA VENCAR 2021, C.A.",01-29-860,Z136,136,584141077465,ELECTROFERRETERIAVENCAR2010@hotmail.com,"VENEZUELA
, DISTRITO FEDERAL
, LA GUAIRA
, CALLE 08, PARCELA F, MANZANA 23 QTA RAYCA NRO S/N URB ATLANTIDA CATIA LA MAR VARGAS"
"+ELECTRIC ATLANTIDA, C.A.",01-28-002,Z136,136,584149161836,electricatlantidaca25@gmail.com,"VENEZUELA
, LA GUAIRA
, CATIA LA MAR
, CALLE SIETE EDIF APTO A PISO PB APT A URB ATLANTIDA CATIA LA MAR LA GUAIRA"
"ATLANTAS CENTRO FERRETERO, C.A.",01-37-504,Z136,136,584142496275,atlantas.centroferretero@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE TERESITA EDIF. PHILADELFIA SEC. CORAPAL PALMAR OESTE"
"AUTO COLOR LOS CORALES, C.A.",01-01-580,Z136,136,584121186909,loscoralesautocolor@gmail.com,"Venezuela
, DISTRITO FEDERAL
, CARACAS
, AV JOSE MARIA ESPAÑA Y AVENIDA LA COSTANERA LOCAL NRO 2 URB LOS CORALES, SECTOR  CARABALLEDA"
"AUTO COLOR WEEK-END, C.A",90-01-024,Z136,136,02123510413,AUTOCOLOR-WEEKEND@HOTMAIL.COM,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE ALFARERIA QTA YOLIMAR NRO P/B LOCAL 3 URB WEEK- END, CATIA LA MAR  VARGAS  ZONA POSTAL 1162"
"BAZAR PAPEL Y TIJERAS LASOFIS, C.A.",01-45-005,Z136,136,584127273751,bazarpapelytijerasls@gmail.com,"Venezuela
, LA GUAIRA
, NAIGUATA
, AVENIDA LOS MANGOS ENTRE CALLE VICTORIA Y LOS CAOBOS QUINTA EL REPOSO NO 08-10 SECTOR PUEBLO ABAJO"
"BAZAR ROGI ATLANTIC, C.A.",01-27-013,Z136,136,584123850665,sandrajmarin@hotmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, AV.PPAL.URB.ATLANTIDA CATIA  LA MAR LOC.S/N."
"CAMURI TODO, C.A.",01-29-864,Z136,136,584241038030,camuritodo@gmail.com,"VENEZUELA
, VARGAS
, LA GUAIRA
, AV PRINCIPAL DE CAMURI GRANDE LOCAL S/N URB CAMURI GRANDE CAMURI GRANDE LA GUAIRA"
CENTRO MADERERO LITORAL C.A.,01-41-997,Z136,136,584143180528,madererolitoral2025@gmail.com,"VENEZUELA
, LA GUAIRA
, MAIQUETIA
, AV PRINCIPAL DE MONTESANO LOCAL GALPÓN NRO S/N SECTOR MONTESANO MAIQUETIA LA GUAIRA"
"COMERCIAL SADIAZ, C.A.",01-29-224,Z136,136,584141816822,miguelangelsadiaz235@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, AVENIDA SOUBLETTE EL  CARDONAL  LOCAL 282"
"CONSTRUMAX 2015,C.A.",13-31-879,Z136,136,584148897299,construmax2015ca@gmail.com,"Venezuela
,  ARAGUA
, MARACAY
, CALLE RIO GUEY CON CALLE SAN MIGUEL CASA NRO 54 OF B BARRIO SANTA ROSA"
"CORPORACION JJ SERVI, S.A.",01-13-019,Z136,136,584141872572,corporacionjjservi@gmail.com,"Venezuela
, LA GUAIRA
, CARABALLEDA
, AV LA COSTANERA EDIF QUINTA LOS BAENA PISO PB LOCAL N°4 URB PALMAR OESTE, CARABALLEDA, EDO. VARGAS"
"CORPORACION KAIROS,C.A.",01-01-623,Z136,136,584242008974,Giancarlo.vasta@kairosve.com,"Venezuela
, DISTRITO FEDERAL
, CARACAS
, CALLE CALLE GARCILASO EDIF PERSEO PISO PB LOCAL LOCAL A URB COLINAS DE BELLO MONTE CARACAS MIRANDA"
"CORPORACION KAIROS,C.A.",49-01-083,Z136,136,584242008974,Adalquisa.martinez@kairosve.com,"Venezuela
,  MIRANDA
, CARACAS
, CALLE CALLE GARCILASO EDIF PERSEO PISO PB LOCAL LOCAL A URB COLINAS DE BELLO MONTE"
"CORPORACION KAIROS,C.A.",49-01-084,Z136,136,584242008974,Logistica@kairosve.com,"Venezuela
,  MIRANDA
, CARACAS
, CALLE CALLE GARCILASO EDIF PERSEO PISO PB LOCAL LOCAL A URB COLINAS DE BELLO MONTE"
"CORPORACION KAIROS,C.A.",49-01-085,Z136,136,584242008974,Ckairos2020@gmail.com,"Venezuela
,  MIRANDA
, CARACAS
, CALLE CALLE GARCILASO EDIF PERSEO PISO PB LOCAL LOCAL A URB COLINAS DE BELLO MONTE"
DIST MULTIHIERRO C.A.,01-41-985,Z136,136,584143036532,vidalrm_import@hotmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, AV PPAL ESQ NAVARRETE SECTOR  NAVARRETE"
DIST. CRISTO DE JOSE. C.A.,01-41-989,Z136,136,584141320607,cristodejose2011@hotmail.com,"Venezuela
, LA GUAIRA
, MAIQUETIA
, MAIQUETIA SEC. NAVARRETTE   ANTES DE LA IGLESIA SRA DE LOURDES."
