codigo,Nombre,correo,telefono,contacto,NiveldePrecio,Ultimo Mov.
81-37-073,INVERSIONES FILTROS MACHIQUES, ,584121243842,ALONSO PALENCIA CHIRINOS,Repuestero,04/11/2025
81-82-506,CAPONE TUNING STORE.C.A., ,584246650478,ENMANUELE ANDRES BUSO DAVILA,Repuestero,26/01/2026
81-41-337,"RIVERSA, C.A.", ,2616118268,DUVAN ALFONZO RIOS VALENCIA,Repuestero,23/01/2024
81-42-405,REPUESTOS DAROCA CA., ,584149685280,ANTONIO DEL VENTO  CANCEL 30,Repuestero,23/09/2025
81-82-480,"FERRETERIA ALPECA,C.A.",alpeca.compras@gmail.com,584146376114,ALEXANDER PEROZO,Otros especializados,19/08/2025
81-96-113,"FERRETERÍA, CONSTRUCCIONES Y SERVICIOS ALRECA, C.A",alreca@gmail.com,584146405724,ALEXANDER RAFAEL BOHORQUEZ PAZ,Otros especializados,28/10/2025
81-42-057,"AUTO PERIQUITOS URDANETA, S.A.",apurdaneta@gmail.com,584246511305,PENDIENTE,Repuestero,17/01/2025
81-96-120,"SEREAUTO 22, C.A",atilmu@hotmail.com,584246612230,ATILIO RAMON MUÑOZ BOSCAN,Taller con venta de repuestos,29/01/2026
81-41-325,"CENTRO DE SERVICIOS AUTOCLEAN, C.A",autocleancenter21@gmail.com,2617512695,DANIELE PIERINI,Taller con venta de repuestos,26/11/2023
81-96-197,"SUPER ELECTRIC PART´S LA F, C.A",autoelectricpartslaf@gmail.com,584246874507,YORLANYS ISABEL LINARES HERNANDE,Repuestero,01/01/1980
81-45-207,"AUTOLAVADO R.R.,C.A. (AUTOLAVADORR, C.A.)",autolavadorr@hotmail.com,584246245066,SORANNO MENOLASCINA ROSANYELA,Otros especializados,23/12/2025
81-41-851,"AUTO PARTES HOME PARTS, C.A",autoparteshomeparts@gmail.com,584140628855,LUIS FERNANDO CASTRO GOMEZ,Repuestero,30/12/2024
81-43-093,"AUTO REPUESTOS DELICIAS, C.A.",autorepuestosdelicias@gmail.com,584146277496,MARISOL DEL CARMEN VILLA BECERRA,Repuestero,23/12/2025
81-41-799,"FERRE-TORNILLOS LA 85, C.A",bastidasmaria67@hotmail.com,584146395012,MARIA BASTIDAS DE PEÑA,Otros especializados,19/01/2026
81-41-444,RODAMIENTOS MIRADORCA C.A,bladimir_rod@hotmail.com,2617886897,BLADIMIRO GARYZADO,Repuestero,24/02/2025
81-41-484,"AUTO REPUESTOS BRACAMONTE HERRERA, C.A.",carlos-eduardo-herrera@hotmail.com,584246097109,ALBERTO FRANCISCO BRACAMONTE,Repuestero,19/10/2025
81-41-728,"BATERIAS EXPRESS,C.A.",carlosprieto81@hotmail.com,2617980374,LUCI MARGARITA PRIETO,Repuestero,04/09/2025
81-96-063,"CLAN JEEP, CA",clanjeepca@gmail.com,584246235056,FEREIRA BRACHO RITALIC CAROLINA,Repuestero,27/04/2024
81-41-261,ELECTRO MOTORES CECILIO ACOSTA C.A,claumile_1990@hotmail.com,584246834621,RICARDO A PEREZ S,Taller con venta de repuestos,05/09/2025
81-96-046,"CONSTRUCTORA AMERICA, COMPAÑIA ANONIMA",conacasuministros@gmail.com,584146319657,TENERELLI DIANA VITTORIANO ANTONIO,Otros especializados,12/12/2024
81-82-561,"CONSUMIBLES AUTOMOTRICES MARACAIBO, C.A",consumarca_oficial@hotmail.com,584149634604,EDUARDO PADRON,Repuestero,27/11/2025
81-82-642,DYNAMIC CAR C.A.,davidmolano11@gmail.com,584127645903,MOLANO RAMIREZ DAVID ALEJANDRO,Taller con venta de repuestos,30/04/2024
81-43-294,"DISTRIBUIDORA DE FILTROS, COMPANIA ANONIMA",difilca@hotmail.com,584123190899,FERNANDO GONZALEZ,Repuestero,26/11/2025
81-96-128,"DISTRIBUIDORA CARRIZO, S.A.",discar@hotmail.com,584146120719,NELLY JOSEFINA ANDRADE DE CARRIZO,Repuestero,05/09/2025
81-41-749,"DISTRIBAT NORTE,.CA",distribatnorte@hotmail.com,584146371828,ELIDA B. LOPEZ DE CHACON,Repuestero,07/11/2024
81-41-219,"AUTO BOMBA Y CLUCHT DOUGLAS, C.A.",doulasclutch@cantv.net,584146129980,DOUGLAS ENRIQUE VILCHEZ BOZO,Taller con venta de repuestos,23/12/2025
81-82-360,ELMOCA LUBRICACION COMPAÑIA ANONIMA,elmocageciaoperacion@gmail.com,584241972128,RICARDO ANTONIO PEREZ VALERO,Distribuidor mayorista,31/10/2024
81-42-204,"RODAMIENTOS EL REY ,C.A",elreyrodamientos@gmail.com,584146619084,JULIO CESAR FINOL CHIRINOS,Repuestero,29/07/2025
81-96-142,CUBO DISTRIBUCIONES C.A,euligiovillalobos@gmail.com,584146135510,EULIGIO JOSE CUJIA,Repuestero,23/12/2025
81-82-245,"INVERSIONES SOMOS AMIGOS, C.A.",euro_garcia65@hotmail.com,2617365906,ENITH DEL SOCORRO TOVAR DE GARCIA,Repuestero,22/01/2026
