Nombre,codigo,Nivel Precios,telefono,correo,Dirección
" INVERSIONES SARON, C.A.",41-19-874,LPLARA,584122012865,ferreteriasaroninversiones@gmail.com,"VENEZUELA
, LARA
, CARORA
, CALLE PRINCIPAL CASA NRO 5 ZONA ANTONIO JOSE DE SUCRE CARORA LARA"
"ACRILICOS GARCIA, C.A.",41-19-104,LPLARA,584166564869,acrilicosgarciaca@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: AV FCO DE MIRANDA / CLLE CONCORDIA EDIF S/N PISO PB LOCAL S/N SECTOR EGIDIO MONTESINOS CARORA "
"AGRICOLA TORRES JB, C.A.",41-19-102,LPLARA,584169507017,agricolatorresjb@gmail.com,"Venezuela
,  LARA
, CARORA
, AV PEDRO LEON TORRES CON CALLE 01 LOCAL NRO S*N SECTOR CANTACLARO CARORA LARA ZONA POSTAL 3050"
"AGRICOLA YEPEZ, C.A.",41-03-003,LPLARA,584127812203,agricolayepez@gmail.com,"VENEZUELA
, LARA
, ARENALES
, CALLE EL TIGRITO ENTRE CALLES BOLIVAR Y EL VAPOR DE ARENALES LOCAL NRO S/N SECTOR EL VAPOR ARENALES LARA"
"AGROIMPERIO 2022, C.A.",49-19-950,LARAB,584124405150,Joshua.andres12@gmail.com,"VENEZUELA
, LARA
, CARORA
, CALLE SOL DE ORIENTE ENTRE AV. LA FERIA Y CALLE RIERA SILVA LOCAL NRO S/N SECTOR EL ESTADIUM CARORA LARA"
"AGROPECUARIA DHIAZ, C.A.",41-41-018,LPLARA,02524211805,agropecuariadhiaz@hotmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE CAMACARO E/CLLS CONTRERAS Y SOL DE ORIENTE LOCAL NRO 1 ZONA CENTRO. CARORA"
AGROPECUARIA EL MORERE 2021 C.A,41-19-181,LPLARA,584265506752,agropmorere21@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CR 7 ENTRE CALLES 15A Y 16 LOCAL NRO 15A-10 SECTOR TRASANDINO CARORA"
"AGROPECUARIA J&J 2016, C.A.",41-19-171,LPLARA,584245338023,agropecuariajj2016@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: AV 14 DE FEBRERO ENTRE VARGAS Y JACOBO CURIEL EDIF NENA PISO PB LOCAL 3 SECTOR CARORITA"
"AGROPECUARIA RIO CAUS, C.A.",41-19-147,LPLARA,584145412830,guaramate1@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE BOLIVAR, ESQUINA CALLE MONAGAS EDIF CENTRO CARORA PISO 2 OF 11 ZONA CENTRO.CARORA LARA"
AGROPECUARIA SAN ANTONIO 2005 C.A,41-19-825,LPLARA,584163578349,imca08@hotmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CARRERA 3 ESQ.  CALLE 16 EDIF. DISAVICA SECT. PUEBLO APARTE."
"AGROTIENDA OROPEZA MARQUEZ, C.A.",41-19-124,LPLARA,584145044203,agrotiendaom@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE17B LOS INDIOS ENTRE CARRERA 17  CASTAÑEDA Y CARRERA 17A GIL FOURTOL LOCAL NRO S/N , "
"AGROTIENDA SABANA LIBRE, C.A.",41-19-180,LARAB,584127743439,agrotiendasabanalibre@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE COLOMBIA ENTRE CALLE MERIDA Y ZULIA LOCAL NRO S/N SECTOR LA TOÑONA CAROROA"
ALIMENTACION TOTAL C.A.,41-19-852,LPLARA,584145414611,alimentaciontotal@gmail.com,"Venezuela
,  LARA
, CARORA
, AV 14 DE FEBRERO ENTRE CALLE LA REDOMA Y ANTIGUO LLENADERO LOCAL NRO 01 SECTOR CAMPANERO CARORA LARA"
"AUTO REPUESTOS DANIEL 2, C.A.",41-19-876,LARAB,584143737986,autorepuestosdaniel2@gmail.com,"PAIS: VENEZUELA
ESTADO: LARA
CIUDAD: CARORA
DIRECCION: CALLE LARA ENTRE CALLE COROMOTO Y CALLEJON LOS SILOS LOCAL NRO S/N SECTOR TRASANDINO CARORA LARA"
"AUTO REPUESTOS Y FERRETERIA FRANMEL, C.A.",41-19-067,LPLARA,584269097734,gremel9.gm@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: AV 14 DE FEBRO ESQ.CLL CHIQUINQUIRA LOCAL AUTO RETOS Y FERRETERIA FRANMEL CA S/N SECTOR PUEBLO APART"
CARMEN GREGORIA SIERRALTA MELENDEZ,41-63-003,LPLARA,584261547617,ferremixtob@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE 03 CASA NRO 23 URB LA REPRESA CARORA"
"CARPIHOGAR, C.A.",41-19-504,LPLARA,584265544480,DEIVYS1984@GMAIL.COM,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE 10 (CALLE BOLIVAR) FRENTE ACCESO SALAMANCA LOCAL NRO 17-A-11 SECTOR  TRASANDINO CARORA"
"CENTRO CONSTRURAMA, C. A.",41-19-103,LPLARA,584265154412,construrama.admon@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CR 10 E/CLL 19 Y 20 LOCAL NRO 19-81 SECTOR TRASANDINO CARORA LARA"
"CHIFERCA, C.A.",41-63-007,LPLARA,584165167500,chirinosreinaldo07@gmail.com,"Venezuela
,  LARA
, QUEBRADA ARRIBA
, CALLE PRINCIPAL CASA NRO S/N SECTOR LA ENTRADA QUEBRADA ARRIBA"
"COLORAMA 1A, C.A.",41-19-862,LPLARA,584261557000,colorama1aca@gmail.com,"VENEZUELA
, LARA
, CARORA
, CR 7 CONTRERAS ENTRE CALLES 13 CAMACARO Y AV 14 DE FEBRERO LOCAL NRO S/N ZONA CENTRO CARORA LARA"
